date,from,to,rate
2020-04-21,THB,EUR,0.0284
2020-04-22,THB,EUR,0.0284
2020-04-23,THB,EUR,0.0287
2020-04-17,THB,EUR,0.0283
2020-04-18,THB,EUR,0.0283
2020-04-19,THB,EUR,0.0283
2020-04-20,THB,EUR,0.0283
2020-04-21,EUR,THB,35.269
2020-04-22,EUR,THB,35.176
2020-04-23,EUR,THB,34.815
2020-04-17,EUR,THB,35.328
2020-04-18,EUR,THB,35.328
2020-04-19,EUR,THB,35.328
2020-04-20,EUR,THB,35.284
2020-03-25,THB,EUR,0.0282
2020-03-26,THB,EUR,0.0279
2020-03-27,THB,EUR,0.027999999999999997
2020-03-28,THB,EUR,0.027999999999999997
2020-03-29,THB,EUR,0.027999999999999997
2020-03-30,THB,EUR,0.0277
2020-03-31,THB,EUR,0.0278
2020-04-01,THB,EUR,0.0277
2020-04-02,THB,EUR,0.0278
2020-04-03,THB,EUR,0.0281
2020-04-04,THB,EUR,0.0281
2020-04-05,THB,EUR,0.0281
2020-04-06,THB,EUR,0.0282
2020-04-07,THB,EUR,0.027999999999999997
2020-04-08,THB,EUR,0.0281
2020-04-09,THB,EUR,0.027999999999999997
2020-04-10,THB,EUR,0.027999999999999997
2020-04-11,THB,EUR,0.027999999999999997
2020-04-12,THB,EUR,0.027999999999999997
2020-04-13,THB,EUR,0.027999999999999997
2020-04-14,THB,EUR,0.0279
2020-04-15,THB,EUR,0.0281
2020-04-16,THB,EUR,0.0281
2020-03-25,EUR,THB,35.491
2020-03-26,EUR,THB,35.836
2020-03-27,EUR,THB,35.769
2020-03-28,EUR,THB,35.769
2020-03-29,EUR,THB,35.769
2020-03-30,EUR,THB,36.080999999999996
2020-03-31,EUR,THB,35.925
2020-04-01,EUR,THB,36.111
2020-04-02,EUR,THB,35.961
2020-04-03,EUR,THB,35.601
2020-04-04,EUR,THB,35.601
2020-04-05,EUR,THB,35.601
2020-04-06,EUR,THB,35.459
2020-04-07,EUR,THB,35.665
2020-04-08,EUR,THB,35.613
2020-04-09,EUR,THB,35.665
2020-04-10,EUR,THB,35.665
2020-04-11,EUR,THB,35.665
2020-04-12,EUR,THB,35.665
2020-04-13,EUR,THB,35.665
2020-04-14,EUR,THB,35.86
2020-04-15,EUR,THB,35.631
2020-04-16,EUR,THB,35.56
2020-04-21,THB,USD,0.0307
2020-04-22,THB,USD,0.0309
2020-04-23,THB,USD,0.0309
2020-03-25,THB,USD,0.0305
2020-03-26,THB,USD,0.0306
2020-03-27,THB,USD,0.0307
2020-03-28,THB,USD,0.0307
2020-03-29,THB,USD,0.0307
2020-03-30,THB,USD,0.0306
2020-03-31,THB,USD,0.0305
2020-04-01,THB,USD,0.0303
2020-04-02,THB,USD,0.0303
2020-04-03,THB,USD,0.0303
2020-04-04,THB,USD,0.0303
